"Input","Output","Updated Feedback"
"I just finish my lunch time, and before prepare everything to go to work I was thinking of you and I wanted to give you a small surprise with this fantastic photos, I hope you like it","I have just finished my lunch break, and before preparing everything to go to work, I was thinking of you and wanted to give you a little surprise with these fantastic photos. I hope you like them.","Sweet gesture! The error is verb tense, punctuation, and pronoun agreement. Change ""finish"" to ""have just finished"" for present perfect. Change ""lunch time"" to ""lunch break"" for phrasing. Add a comma after ""work"" to separate the clause. Change ""prepare"" to ""preparing"" for gerund. Change ""small"" to ""little"" for variety. Change ""this fantastic photos"" to ""these fantastic photos"" for plural. Change ""like it"" to ""like them"" for pronoun agreement. This helps you use verb tenses, punctuation, and pronoun agreement accurately. What’s your favorite way to surprise someone?"
"With all my love","With all my love,","Lovely closing! The error is punctuation. Add a comma after ""love"" for proper closing. This helps you use punctuation correctly in closings. What’s the best thing about expressing love?"
"Victoria.","Victoria.","Perfect signature! What’s the best thing about your name?"
"Dear Sir or Madam","Dear Sir or Madam,","Good formal greeting! The error is punctuation. Add a comma after ""Madam"" for proper salutation. This helps you use punctuation correctly in formal salutations. What’s the purpose of your letter?"
"I am applying for the job that you have advertised.","I am applying for the job that you have advertised.","Perfect sentence! You used the present perfect tense properly to express interest, which shows understanding of formal writing. What’s the best thing about this job opportunity?"
"I'm a happy, energtic person who likes to work with children.","I'm a happy, energetic person who likes to work with children.","Great introduction! The error is spelling. Change ""energtic"" to ""energetic"" for correct spelling. Remove the space before the comma after ""happy."" This helps you use spelling and punctuation accurately. What’s your favorite thing about working with children?"
"I love young children.","I love young children.","Perfect sentence! You used the present tense properly to express affection, which shows understanding of simple statements. What’s the best thing about working with young children?"
"I have worked in many kitchens before, and I have gained a lot of experience there.","I have worked in many kitchens before, and I have gained a lot of experience there.","Perfect sentence! You used the present perfect tense properly to describe past experiences, which shows understanding of work history. What’s the most important thing you’ve learned from working in kitchens?"
"Bye","Bye,","Good closing! The error is punctuation. Add a comma after ""Bye"" for proper closing. This helps you use punctuation correctly in informal closings. What’s the best way to say goodbye?"
"Marisa","Marisa.","Perfect signature! The error is punctuation. Add a period for proper signature (assuming no further context). This helps you use punctuation correctly in signatures. What’s the best thing about your name?"
"This summer happened to me several things, I went to the beach, I went to the pool, or simply went for a walk with friends, but the best was when I went to a wedding because it was the event that more memories bring me this summer.","This summer, several things happened to me. I went to the beach, I went to the pool, or simply went for a walk with friends, but the best thing was when I went to a wedding because it brought me the most memories this summer.","Great summer memories! The error is word order, punctuation, and phrasing. Add a comma after ""summer"" and split into two sentences. Change ""happened to me several things"" to ""several things happened to me"" for word order. Change ""the event that more memories bring me"" to ""the best thing was when I went to a wedding because it brought me the most memories"" for clarity and tense. This helps you use word order, punctuation, and phrasing effectively in narratives. What’s your favorite summer memory?"
"We got there at five o'clock, we had not yet reached many people, so take the opportunity to give the gift that was a washing machine the finished clothing to reach the store, and apparently they were in need of a new, as the bride loved.","We got there at five o'clock. We had not yet met many people, so we took the opportunity to give the gift, which was a washing machine, to reach the store with finished clothing. Apparently, they were in need of a new one, as the bride loved it.","Nice wedding story! The error is punctuation, phrasing, and pronoun. Split into three sentences at ""o'clock"" and ""clothing."" Change ""reached many people"" to ""met many people"" for context. Change ""take"" to ""we took"" for subject agreement. Clarify ""that was a washing machine the finished clothing to reach the store"" with rephrasing. Change ""a new"" to ""a new one"" and ""loved"" to ""loved it"" for pronoun. This helps you use punctuation, phrasing, and pronouns accurately in complex sentences. What was the bride’s reaction to the gift?"
"Spent half an hour after we arrived, started coming everybody, there were many greetings, thanks, hugs, kisses, and then we all went to the table, which was magnificently structured, plenty of food of all kinds, drinks, but we were all waiting for the main course, also the food was magnificent, but the best part was when the couple went to the pool, we were lucky we had an amazing wedding planner who arranged the magnificent and fun activities, he said to the bride and groom enter each an inflatable ball and try walking on the water as long as withstand, and the bride won because the groom slipped and fell after them, out of the ball, fell into the water, and kissed.","Half an hour after we arrived, everybody started arriving. There were many greetings, thanks, hugs, kisses, and then we all went to the table, which was magnificently structured, stocked with plenty of food of all kinds, drinks. We were all waiting for the main course. Also, the food was magnificent, but the best part was when the couple went to the pool. We were lucky to have an amazing wedding planner who arranged magnificent and fun activities. He told the bride and groom that they should each get into an inflatable ball and try walking on the water for as long as they could. The bride won because the groom slipped and fell into the water after they got out of the ball, and they kissed.","What a fun wedding! The error is phrasing, punctuation, and clarity. Change ""Spent half an hour"" to ""Half an hour"" and split into sentences. Change ""started coming everybody"" to ""everybody started arriving"" for word order. Add a period after ""drinks"" to end the list. Split ""also the food was magnificent"" into a new sentence. Rephrase ""he said to the bride and groom enter each an inflatable ball"" to ""He told the bride and groom that they should each get into an inflatable ball"" for clarity. Change ""as long as withstand"" to ""for as long as they could"" for meaning. Rephrase ""fell after them, out of the ball, fell into the water"" for logical sequence. This helps you use phrasing, punctuation, and clarity effectively in narratives. What was the funniest moment at the wedding?"
"At four in the morning, after opening the presents, everyone started to leave, it was a long day but a lot of fun, but it could have lasted a bit longer.","At four in the morning, after opening the presents, everyone started to leave. It was a long day and a lot of fun, but it could have lasted a bit longer.","Great wedding recap! The error is punctuation and conjunction. Add a period after ""leave"" to split sentences. Change ""but a lot of fun"" to ""and a lot of fun"" for coordination. Remove the extra ""but"" for clarity. This helps you use punctuation and conjunctions accurately. What’s your favorite part of weddings?"
"I usually wake up at six o'clock in the morning, then I'll take a quick shower.","I usually wake up at six o'clock in the morning, then I take a quick shower.","Good routine! The error is verb tense consistency. Add a comma after ""morning"" for clause separation. Change ""I'll take"" to ""I take"" for present tense consistency with ""usually wake up."" This helps you use verb tenses consistently. What’s your favorite part of your morning routine?"
"After school, I'd like to eat fresh fruit.","After school, I like to eat fresh fruit.","Good habit! The error is verb tense consistency. Remove ""I'd"" and change to ""I like"" for present tense consistency. Keep the comma after ""school."" This helps you use verb tenses consistently. What’s your favorite fruit to eat after school?"
"I am keen to run during the night time.","I am keen on running during the nighttime.","Great fitness habit! The error is preposition and compound word. Change ""keen to run"" to ""keen on running"" for correct preposition and gerund. Change ""night time"" to ""nighttime"" for compound word. This helps you use prepositions and compound words accurately. What’s your favorite place to run at night?"
"IN my country peole do alot of mistake and have alot of of bad habits concerning their attitude towards the rubbish, they are always throwing their old things and rubbish in public place, the governement also can not do their role towards their people and their bad behaviour","In my country, people make a lot of mistakes and have a lot of bad habits concerning their attitude toward rubbish. They are always throwing their old things and rubbish in public places. The government also cannot fulfill its role toward its people and their bad behavior.","Important observation! The error is capitalization, spelling, punctuation, and pronoun. Capitalize ""In"" and add a comma after ""country."" Change ""peole do alot of mistake"" to ""people make a lot of mistakes"" for spelling and verb. Change ""have alot of of bad habits"" to ""have a lot of bad habits"" for spelling and redundancy. Change ""towards the rubbish"" to ""toward rubbish"" for preposition and simplicity. Change ""in public place"" to ""in public places"" for plural. Change ""governement also can not do their role"" to ""government also cannot fulfill its role"" for spelling, contraction, and possessive. Change ""towards their people"" to ""toward its people"" for consistency. This helps you use capitalization, spelling, punctuation, and pronouns accurately. What do you think is the best way to change people’s habits toward rubbish?"
"Once upon a time, there was a monster on the city called "" Michenstain "".","Once upon a time, there was a monster in a city called 'Michenstain'.","Great story starter! The error is preposition, punctuation, and quotation marks. Add a comma after ""time"" for clause separation. Change ""on the city"" to ""in a city"" for preposition and article. Replace double quotation marks with single quotes for consistency. This helps you use prepositions, punctuation, and quotation marks accurately. What do you think the monster looked like?"
"Michenstain was a very tiny city that was one bad thing for them; the other bad thing was that in the city, there was a monster called "" Monsteration "".","Michenstain was a very tiny city. That was one bad thing for them; the other bad thing was that in the city, there was a monster called 'Monsteration'.","Good storytelling! The error is punctuation and quotation marks. Split into two sentences at ""city."" Change ""that was one bad thing"" to ""That was one bad thing"" for a new sentence. Replace double quotation marks with single quotes. This helps you use punctuation and quotation marks correctly. What made Michenstain a bad place to live?"
"Monsteration was a very lively monster he always migrates to the north every Monday.","Monsteration was a very lively monster. He always migrated to the north every Monday.","Fun monster detail! The error is punctuation and verb tense. Add a period after ""monster"" to split sentences. Change ""migrates"" to ""migrated"" for past tense. This helps you use punctuation and verb tenses accurately. Why do you think Monsteration migrated every Monday?"
"In the day, he was a mild monster, he was very visible (because he was big); but in the night, it was the contrary, he kill people, destroys complete cities; he smash all the architecture from the city, and a lot of bad things.","In the daytime, he was a mild monster. He was very visible (because he was big); but at night, it was the opposite. He killed people, destroyed entire cities; he smashed all the architecture of the city, and did a lot of bad things.","Great contrast! The error is phrasing, punctuation, and verb tense. Change ""In the day"" to ""In the daytime"" for clarity. Split into sentences at ""monster"" and ""opposite."" Change ""it was the contrary"" to ""it was the opposite"" for simplicity. Change ""kill"" to ""killed,"" ""destroys"" to ""destroyed,"" and ""smash"" to ""smashed"" for past tense. Change ""complete cities"" to ""entire cities"" and ""from the city"" to ""of the city"" for phrasing. Change ""a lot of bad things"" to ""did a lot of bad things"" for active voice. This helps you use phrasing, punctuation, and verb tenses effectively. What do you think was the scariest thing Monsteration did?"
"One day, Monsteration 's next destination was the city of Michenstain.","One day, Monsteration's next destination was the city of Michenstain.","Good plot development! The error is punctuation. Add a comma after ""day"" for introductory phrase. This helps you use punctuation correctly with introductory phrases. What do you think the people of Michenstain did when they saw Monsteration?"
"All the people did n't know what that was, so they didn't care about it.","None of the people knew what that was, so they didn't care about it.","Good observation! The error is phrasing and contraction. Change ""All the people did n't know"" to ""None of the people knew"" for meaning. Change ""did n't"" to ""didn't"" for contraction. Add a comma after ""was"" for clause separation. This helps you use phrasing and contractions accurately. What do you think the people should have done differently?"
"But when he arrived to Michenstain, all the people went: "" DAHMMMMMMMMMM "".","But when he arrived in Michenstain, all the people went: 'DAHMMMMMMM'.","Fun reaction! The error is preposition and quotation marks. Change ""arrived to"" to ""arrived in"" for correct preposition. Replace double quotation marks with single quotes for consistency. This helps you use prepositions and quotation marks accurately. How do you think the people felt when they saw Monsteration?"
"It was in the midnight when arrived, so he was eager to destroy everything.","It was in the middle of the night when he arrived, so he was eager to destroy everything.","Great suspense! The error is phrasing and subject. Change ""in the midnight"" to ""in the middle of the night"" for phrasing. Add ""he"" after ""when"" for subject clarity. Add a comma after ""arrived"" for clause separation. This helps you use phrasing and subjects effectively. What do you think Monsteration wanted to destroy first?"
"So all the people started to run and scream, and the monster was pursuing all of them.","So all the people started to run and scream, and the monster was pursuing all of them.","Perfect sentence! You used the past continuous tense properly to describe simultaneous actions, which shows understanding of narrative structure. What do you think was the scariest part of this chase?"
"He was spoiling all the crops from the people, he was destroying all the vehicles, and he destroyed a vast area.","He was spoiling people's crops, he was destroying all the vehicles, and he destroyed a vast area.","Good action detail! The error is possessive form. Change ""all the crops from the people"" to ""people's crops"" for possessive form. This helps you use possessive forms correctly. What do you think was the worst damage Monsteration caused?"
"The next day, he was a very attractive monster, in other words, he was convert in other monster body.","The next day, he was a very attractive monster. In other words, he was undercover in another monster's body.","Interesting twist! The error is phrasing and possessive form. Add a period after ""monster"" to split sentences. Change ""convert in other monster body"" to ""undercover in another monster's body"" for meaning and possessive form. This helps you use phrasing and possessive forms accurately. Why do you think Monsteration changed his appearance?"
"He was completely different; it was impressive the way he was acting.","He was completely different; it was impressive the way he was acting.","Perfect sentence! You used the past continuous tense and semicolon properly to describe a transformation, which shows understanding of complex sentences. What do you think was the most impressive thing about Monsteration’s new appearance?"
"The thing that he (the monster) did n't know about was that he had a spectacular infection (literally spectacular) that I thing that it have no cure, it was called "" The Monsteration Infectations "".","The thing that he (the monster) didn't know about was that he had a spectacular infection (literally spectacular) that I think had no cure. It was called 'The Monsteration Infections'.","Great plot twist! The error is contraction, verb tense, and quotation marks. Change ""did n't"" to ""didn't"" for contraction. Change ""thing that it have"" to ""think had"" for spelling and tense. Split into two sentences at ""cure."" Replace double quotation marks with single quotes and correct ""Infectations"" to ""Infections."" This helps you use contractions, verb tenses, and quotation marks accurately. What do you think was the most surprising thing about Monsteration’s infection?"
"(On those times there were diverse monster, but none of them was like him; he was in the number 1 rank of the monster in destroying things. )","(In those times, there were diverse monsters, but none of them was like him; he was ranked number one among monsters at destroying things.)","Good comparison! The error is punctuation, plural, and phrasing. Change ""On those times"" to ""In those times"" for preposition. Add a comma after ""times."" Change ""monster"" to ""monsters"" for plural. Rephrase ""in the number 1 rank of the monster in destroying things"" to ""ranked number one among monsters at destroying things"" for clarity. This helps you use punctuation, plurals, and phrasing effectively. What do you think made Monsteration the most destructive monster?"
"The scientists are trying to make a cure for the Monsteration Infectations, but they still don't have it.","Scientists were trying to find a cure for the Monsteration Infections, but they still didn't have it.","Good plot development! The error is verb tense and article use. Remove ""The"" before ""scientists"" for generality. Change ""are trying"" to ""were trying"" for past tense. Change ""make"" to ""find"" for context. Change ""Infectations"" to ""Infections"" for spelling. Change ""do n't"" to ""didn't"" for past tense. This helps you use verb tenses and articles accurately. What do you think the scientists should do next to find a cure?"
"In their laboratory, they have a lot of chemicals that were prohibited in their country, but they used them.","In their laboratories, they had a lot of chemicals that were prohibited in their country, but they used them.","Good detail! The error is plural and verb tense. Change ""laboratory"" to ""laboratories"" for plural. Change ""have"" to ""had"" for past tense. Add a comma after ""country"" for clause separation. This helps you use plurals, verb tenses, and punctuation correctly. What do you think was the riskiest thing the scientists did?"
"They had to isolate the chemicals to the formula to have the cure.","They had to isolate the chemicals to find the formula for the cure.","Good scientific detail! The error is phrasing. Change ""to the formula to have the cure"" to ""to find the formula for the cure"" for clarity and preposition. This helps you use phrasing and prepositions accurately. What do you think was the hardest part of finding the cure?"
"Some scientists did n't care about the infection; they were playing ultimate team in their iPods.","Some scientists didn't care about the infection; they were playing Ultimate Team on their iPods.","Fun detail! The error is contraction and preposition. Change ""did n't"" to ""didn’t"" for contraction. Capitalize ""Ultimate Team"" as a proper name. Change ""in"" to ""on"" for correct preposition with devices. This helps you use contractions and prepositions accurately. What do you think the scientists should have been doing instead?"
"The scientists that were doing the formula had a lot of tension, but finally, they did it and they said: "" Magnificent "".","The scientists who were making the formula had a lot of tension, but finally, they did it and said: 'Magnificent'.","Great climax! The error is relative pronoun, punctuation, and quotation marks. Change ""that were doing"" to ""who were making"" for relative pronoun and verb. Add a comma after ""tension"" for clause separation. Replace double quotation marks with single quotes. This helps you use relative pronouns, punctuation, and quotation marks correctly. How do you think the scientists felt when they finally succeeded?"
"Well I 'd like to talk to you about my experiences like English student for many years.","Well, I'd like to talk to you about my experiences as an English student for many years.","Nice introduction! The error is punctuation and preposition. Add a comma after ""Well"" for introductory word. Change ""like English student"" to ""as an English student"" for proper preposition and article. This helps you use punctuation and prepositions accurately. What’s the most important thing you’ve learned as an English student?"
"I 'm 56 years old and I 'm a chemist.","I'm 56 years old and I'm a chemist.","Perfect sentence! Just remove the extra spaces before the apostrophes in ""I'm."" This helps you use contractions accurately. What’s the best thing about being a chemist?"
"I have neded to use English a lot of time during my professionals activities for that reason I have taken some English courses many years ago.","I have needed to use English a lot of times during my professional activities. For that reason, I took some English lessons many years ago.","Good reflection! The error is spelling, plural, and verb tense. Change ""neded"" to ""needed"" for spelling. Change ""time"" to ""times"" for plural. Change ""professionals activities"" to ""professional activities"" for adjective form. Split into two sentences at ""activities."" Change ""have taken some English courses"" to ""took some English lessons"" for tense and variety. This helps you use spelling, plurals, and verb tenses correctly. What’s the most useful thing you’ve learned in your English lessons?"
"I can tell you that I fell I can understand over 90% when I 'm listening and when I 'm Reading, but my main problem with English is of course when I must speak: I fell my self horrible without confidence, I think that always I 'm thinking in Epanish and after makind the translation to English, may be in this moment when I 'm writing this composition I 'm making the same wrong. I know that learning English is a large process but I must follow that process because I 'd like to be an excellent bilingual Pearson.","I can tell you that I feel I can understand over 90% when I’m listening and when I’m reading, but my main problem with English is, of course, when I have to speak. I feel terrible and lack confidence. I think I’m always thinking in Spanish and then doing the translation into English. Maybe, at this moment while I’m writing this composition, I’m making the same mistake. I know that learning English is a long process, but I must follow it because I’d like to be an excellent bilingual person.","Great honesty! The error is spelling, punctuation, phrasing, and word choice. Change ""fell"" to ""feel"" for spelling. Change ""I 'm listening"" and ""I 'm Reading"" to ""I’m listening"" and ""I’m reading"" for consistency (capitalize ""Reading"" seems a typo). Add a comma after ""is"" for clause separation. Change ""must speak: I fell my self horrible without confidence"" to ""have to speak. I feel terrible and lack confidence"" for clarity and punctuation. Change ""Epanish"" to ""Spanish"" and ""makind"" to ""doing"" for spelling. Change ""may be"" to ""Maybe"" and rephrase for flow. Change ""the same wrong"" to ""the same mistake"" for clarity. Change ""large"" to ""long"" for better fit. Change ""Pearson"" to ""person"" for spelling. This helps you use spelling, punctuation, phrasing, and word choice accurately. What’s the best way you’ve found to build confidence in speaking English?"
"Currently I 'm working like teacher at the university and to teach in English have been my gol.","Currently, I'm working as a teacher at the university, and teaching in English has been my goal.","Good career detail! The error is punctuation, preposition, and spelling. Add a comma after ""Currently."" Change ""like teacher"" to ""as a teacher"" for preposition and article. Change ""to teach in English have been my gol"" to ""teaching in English has been my goal"" for gerund and spelling. This helps you use punctuation, prepositions, and spelling correctly. What’s the most rewarding thing about teaching in English?"
"I 'm a teacher in chemistry and math too.","I'm a teacher of chemistry and math too.","Good detail! The error is preposition. Change ""in chemistry"" to ""of chemistry"" for preposition. Remove the extra space before ""I'm."" This helps you use prepositions accurately. What’s your favorite thing about teaching chemistry and math?"
"I work too like free lance worker with the same subjects because it is necessary to increase my incons.","I also work as a freelance worker with the same subjects because it is necessary to increase my income.","Good work detail! The error is phrasing and spelling. Change ""work too like free lance worker"" to ""also work as a freelance worker"" for phrasing and spelling. Change ""incons"" to ""income"" for spelling. This helps you use phrasing and spelling accurately. What’s the best thing about working as a freelancer?"
"I 'm writing now without knowing dictionary and making this composition without traduction from Espanish ( I hope jajaja )","I'm writing now without using a dictionary and doing this composition without translating from Spanish (I hope haha).","Good effort! The error is phrasing and spelling. Remove the extra space before ""I'm."" Change ""knowing dictionary"" to ""using a dictionary"" for clarity. Change ""traduction from Espanish"" to ""translating from Spanish"" for spelling and gerund. Change ""jajaja"" to ""haha"" for English equivalent. This helps you use phrasing and spelling correctly. What’s the hardest part about writing in English without a dictionary?"
"I 'm sure I 'll have many mistakes but I feel good because I must write and write and write I need to improve my English level. I must not fell bad if I want finally learn English very well.","I'm sure I'll have many mistakes, but I feel good because I must write and write and write. I need to improve my English level. I must not feel bad if I want to finally learn English very well.","Great attitude! The error is punctuation, spelling, and phrasing. Remove the extra spaces before ""I'm"" and ""I'll."" Add a comma after ""mistakes"" for clause separation. Split into three sentences at ""write"" and ""level."" Change ""fell"" to ""feel"" for spelling. This helps you use punctuation, spelling, and phrasing effectively. What’s your favorite way to practice writing in English?"
"I hope you can help me undesrtand more about how improve my English level and develop my skiils","I hope you can help me understand more about how to improve my English level and develop my skills.","Good request! The error is spelling and infinitive. Change ""undesrtand"" to ""understand"" and ""skiils"" to ""skills"" for spelling. Add ""to"" before ""improve"" for infinitive form. This helps you use spelling and infinitives accurately. What’s the most important skill you want to develop in English?"
