"Input","Output","Updated Feedback"
"I do n't know which is the best plays I have been in but New York was cool, but I actually like Fårö most is an island next to gotland and I have been there since I was 0 years.","I don’t know which is the best place I have been to, but New York was cool. However, I actually like Fårö most; it is an island next to Gotland, and I have been going there since I was 0 years old.","Good comparison! Use ""don’t,"" ""place,"" ""However,"" a semicolon, ""Gotland,"" and ""going there."" What’s your favorite memory from Fårö?"
"We always rent a little cottages from a sheep farmer and now we know his family.","We always rent a little cottage from a sheep farmer, and now we know his family.","Good detail! Use ""cottage"" and add a comma. What’s your favorite thing about the cottage?"
"We always goes to the beach which is very nice and when it 's sunny and warm is better than the Mediterranean.","We always go to the beach, which is very nice, and when it’s sunny and warm, it is better than the Mediterranean.","Good comparison! Use ""go,"" add commas, and ""it is better."" What do you like to do at the beach?"
"I do n't know what I 'm proud of but when I do a nice goal i gets proud because it 's feel good especially when it 's an important goal that maybe change the game.","I don’t know what I’m proud of, but when I score a nice goal, I am proud because it feels good, especially when it’s an important goal that will maybe change the game.","Good reflection! Use ""don’t,"" ""score,"" ""am proud,"" ""feels,"" and ""will maybe change."" What’s your favorite goal you’ve scored?"
"I would like to be the best football player in the world, a Youtuber or take over a big company.","I would like to be the best football player in the world, a YouTuber, or take over a big company.","Great ambitions! Use ""YouTuber"" and add a comma. What’s the first step to achieving these goals?"
"It often hard to go up in the morning, I always think just one more minute and then I fall asleep.","It is often hard to get up in the morning. I always think just one more minute, and then I fall asleep.","Relatable! Use ""is,"" ""get up,"" and add a comma. What helps you get up in the morning?"
"I asked my parents and they said ambitious, curious and considerate.","I asked my parents, and they said ambitious, curious, and considerate.","Good traits! Add a comma and ""and."" Which trait do you think describes you best?"
"I do n't know if I can agree to that but I listened to them.:)","I don’t know if I can agree with that, but I listened to them.:)","Good reflection! Use ""don’t,"" ""agree with,"" and add a comma. What do you think is your best trait?"
"I do n't know what I like people to know about me.","I don’t know what I like people to know about me.","Perfect! No changes needed. What’s something you want people to know about you?"
"That I have been dancing for two years but I stopped because I did n't had time.","That I danced for two years, but I stopped because I didn’t have time.","Good detail! Use ""danced,"" a comma, and ""didn’t have."" What was your favorite thing about dancing?"
"I would like to play a World Cup game and I also want to win champions league.","I would like to play a World Cup game, and I also want to win the Champions League.","Great goals! Add a comma and ""the."" What’s your favorite World Cup memory?"
"I do n't have a favourite movie, I like many but the movies I like the most is funny and action.","I don’t have a favourite movie. I like many, but the movies I like the most are comedies and adventure.","Good taste! Use ""don’t,"" add a period, a comma, and ""comedies and adventure."" What’s your favorite comedy?"
"I do n't read so much books.","I don’t read many books.","Simple fix! Use ""don’t"" and ""many."" What’s the last book you read?"
"I like a lot of songs but I think it 's Let 's Do It Again with J Boog because I like the singer 's voice, it 's a soft song and it 's easy to sing to.","I like a lot of songs, but I think it’s 'Let’s Do It Again' by J Boog because I like the singer’s voice. It’s a soft song, and it’s easy to sing to.","Good taste! Add a comma, use ""it’s,"" quotes around the song title, ""by,"" and add a period. What’s your favorite part of the song?"
"I also like Stolen Dance with Milky Chance because it 's a soft song.","I also like 'Stolen Dance' by Milky Chance because it’s a soft song.","Good choice! Use quotes and ""by."" What do you like most about this song?"
"I do n't only like soft music I also like pop music and house music.","I don’t only like soft music; I also like pop music and house music.","Good variety! Use ""don’t"" and a semicolon. What’s your favorite pop song?"
"I like to watch South Park it 's really funny and I have almost seen every 17 seasons I also like to watch youtube videos every day.","I like to watch South Park. It’s really funny, and I have almost seen all 17 seasons. I also like to watch YouTube videos every day.","Good taste! Add periods, use ""It’s,"" a comma, ""all,"" and ""YouTube."" What’s your favorite South Park episode?"
"I like a lot of food but the most meat food is good and pizza.","I like a lot of food, but the best meat dishes are good, and pizza.","Good variety! Add a comma and use ""best meat dishes."" What’s your favorite meat dish?"
"My favourite restaurant most have good meat and be really nice.","My favourite restaurant must have good meat and be really nice.","Good criteria! Use ""must."" What’s your favorite restaurant?"
"My favourite memories must be every summer on Fårö.","My favourite memories must be every summer on Fårö.","Perfect! No changes needed. What’s your favorite summer memory?"
"To: Tourist Office","To: Tourist Office","Perfect! No changes needed. What’s the purpose of your report?"
"From: ELiza Anna","From: Eliza Anna","Simple fix! Use ""Eliza."" What’s your role in writing this report?"
"Subject: Shopping facilities","Subject: Shopping facilities","Perfect! No changes needed. What’s the most important shopping facility in your report?"
"Report on the shopping facilities in Katowice","Report on the shopping facilities in Katowice","Perfect! No changes needed. What’s the main focus of your report?"
"Introduction","Introduction","Perfect! No changes needed. What will you introduce?"
"The aim of this report is to describe and assess shops, which could be interesting for tourists.","The aim of this report is to describe and assess shops which could be interesting for tourists.","Good purpose! Remove the comma. What’s the most interesting shop for tourists?"
"The majority of people visiting Katowice are focused on three matters: sovenirs, fashion and food.","The majority of people visiting Katowice are focused on three things: souvenirs, fashion, and food.","Good list! Use ""things,"" ""souvenirs,"" and add a comma. What’s the best souvenir to buy in Katowice?"
"Souvenirs","Souvenirs","Perfect! No changes needed. What’s your favorite souvenir?"
"It seems that there is not many places in city center where you can find souvenirs like postcards or books about the history of Katowice.","It seems that there are not many places in the city center where you can find souvenirs like postcards or books about the history of Katowice.","Good observation! Use ""are,"" ""the city center."" What’s the best place to find souvenirs?"
"Fortunately, visitors would find all of that in the Tourist Information Ofiice and in shops on the outskirts.","Fortunately, visitors will find all of that in the Tourist Information Office and in shops on the outskirts.","Good detail! Use ""will find"" and ""Office."" What’s the best thing about the Tourist Information Office?"
"The one, which is really worthy to see is "" Kato - Sovenirs "".","The one which is really worth seeing is ""Kato-Souvenirs"".","Good recommendation! Remove the comma and use ""worth seeing"" and ""Kato-Souvenirs."" What’s special about this shop?"
"They provide all sorts of funny local gadgets.","They provide all sorts of funny local gadgets.","Perfect! No changes needed. What’s your favorite gadget?"
"Fashion","Fashion","Perfect! No changes needed. What’s the best fashion shop in Katowice?"
"My favorite sport is football.","My favorite sport is football.","Perfect! No changes needed. What’s your favorite football team?"
